순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
162,011210,현대위아,"43,600","-4,350","-9.1","460,455","20,478,095,400","48,300","48,300","43,600","1,185,705,618,800","0.08","27,195,083",,,
163,095700,제넥신,"55,600","-3,000","-5.1","133,911","7,565,160,400","58,300","58,300","55,500","1,143,354,730,400","0.07","20,563,934",,,
164,098460,고영,"83,400","-4,200","-4.8","38,206","3,234,815,500","87,700","87,900","82,800","1,141,575,113,400","0.07","13,687,951",,,
165,240810,원익IPS,"23,200","-1,200","-4.9","274,075","6,428,556,550","24,250","24,300","23,100","1,138,746,503,200","0.07","49,083,901",,,
166,057050,현대홈쇼핑,"94,800","-400","-0.4","16,388","1,559,159,500","95,400","96,300","94,100","1,137,600,000,000","0.07","12,000,000",,,
167,028300,에이치엘비,"28,900","-1,250","-4.2","619,211","18,242,288,750","30,000","30,200","28,800","1,133,896,759,800","0.07","39,235,182",,,
168,078340,컴투스,"88,000","-3,000","-3.3","41,167","3,655,968,400","90,600","90,800","88,000","1,132,244,960,000","0.07","12,866,420",,,
169,041960,코미팜,"19,400","-650","-3.2","263,326","5,147,107,000","20,000","20,050","19,250","1,127,893,670,600","0.07","58,138,849",,,
170,114090,GKL,"18,050","-300","-1.6","310,439","5,630,532,250","18,150","18,400","17,950","1,116,494,843,500","0.07","61,855,670",,,
171,247540,에코프로비엠,"54,300","-2,600","-4.6","195,725","10,750,762,500","56,600","56,600","54,200","1,105,622,173,800","0.07","20,361,366",,,
172,028150,GS홈쇼핑,"167,800","-2,700","-1.6","9,350","1,582,301,700","170,600","172,300","167,100","1,101,187,500,000","0.07","6,562,500",,,
173,175330,JB금융지주,"5,530","-80","-1.4","339,203","1,873,730,550","5,610","5,630","5,490","1,089,315,403,820","0.07","196,982,894",,,
174,307950,현대오토에버,"51,700","-2,200","-4.1","25,408","1,313,790,100","53,500","53,500","51,000","1,085,700,000,000","0.07","21,000,000",,,
175,005850,에스엘,"22,500","-550","-2.4","53,029","1,196,383,900","23,100","23,100","22,100","1,084,573,732,500","0.07","48,203,277",,,
176,007700,F&F,"70,000","-3,200","-4.4","108,268","7,648,628,900","72,300","74,600","69,300","1,078,000,000,000","0.07","15,400,000",,,
177,120110,코오롱인더,"39,750","-1,250","-3.0","128,140","5,146,461,700","41,250","41,250","39,750","1,072,408,890,000","0.07","26,978,840",,,
178,049770,동원F&B,"274,000","-6,500","-2.3","3,927","1,082,790,500","280,000","283,000","271,000","1,057,399,976,000","0.07","3,859,124",,,
179,036830,솔브레인,"60,600","-5,400","-8.2","995,429","62,619,197,800","66,800","67,300","60,500","1,054,335,222,600","0.07","17,398,271",,,
180,011200,현대상선,"3,310","-130","-3.8","747,031","2,500,834,785","3,450","3,465","3,305","1,047,787,765,450","0.07","316,552,195",,,
181,038540,상상인,"18,550","-500","-2.6","773,174","14,206,626,000","18,950","19,000","18,000","1,035,986,206,150","0.07","55,848,313",,,
182,010780,아이에스동서,"33,500","-1,200","-3.5","73,359","2,474,994,600","35,000","35,000","33,100","1,034,902,301,000","0.07","30,892,606",,,
183,192080,더블유게임즈,"56,500","-1,300","-2.2","89,116","5,038,408,900","57,300","58,100","55,600","1,031,718,363,000","0.07","18,260,502",,,
184,009410,태영건설,"13,300","-50","-0.4","251,221","3,334,513,150","13,300","13,650","13,100","1,016,120,000,000","0.06","76,400,000",,,
185,003000,부광약품,"15,900","-500","-3.0","161,739","2,589,075,350","16,400","16,400","15,800","1,010,148,735,300","0.06","63,531,367",,,
186,192820,코스맥스,"100,000","-3,000","-2.9","63,539","6,489,357,800","103,500","105,500","100,000","1,004,950,900,000","0.06","10,049,509",,,
