종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
030210,KTB투자증권,"2,470","0","0.00","2,470","2,465","46,149","113,630,150","2,460","2,485","2,440","5,000",원(KRW),"60,314,092","148,975,807,240",
036030,KTH,"5,310","150","2.91","5,310","5,300","415,633","2,211,839,570","5,230","5,440","5,160","1,000",원(KRW),"35,715,022","189,646,766,820",
058850,KTcs,"2,020","5","0.25","2,020","2,015","33,260","67,081,845","2,015","2,035","1,995","500",원(KRW),"42,685,000","86,223,700,000",
058860,KTis,"2,125","15","0.71","2,125","2,120","30,448","64,433,100","2,110","2,140","2,090","500",원(KRW),"34,802,000","73,954,250,000",
060370,KT서브마린,"2,920","30","1.04","2,930","2,920","60,235","174,614,665","2,840","2,970","2,840","1,000",원(KRW),"21,900,000","63,948,000,000",
093050,LF,"22,850","-600","2.56","22,900","22,850","46,820","1,086,579,200","23,150","23,700","22,750","5,000",원(KRW),"29,240,000","668,134,000,000",
003550,LG,"69,100","0","0.00","69,200","69,100","151,665","10,480,814,900","68,400","69,900","68,100","5,000",원(KRW),"172,557,131","11,923,697,752,100",
034220,LG디스플레이,"12,700","-50","0.39","12,700","12,650","1,707,366","21,686,501,800","12,850","12,900","12,550","5,000",원(KRW),"357,815,700","4,544,259,390,000",
001120,LG상사,"16,250","-200","1.22","16,250","16,200","86,547","1,406,298,900","16,450","16,550","16,050","5,000",원(KRW),"38,760,000","629,850,000,000",
051900,LG생활건강,"1,173,000","-8,000","0.68","1,174,000","1,173,000","22,315","26,241,322,000","1,172,000","1,188,000","1,163,000","5,000",원(KRW),"15,618,197","18,320,145,081,000",
051905,LG생활건강우,"744,000","-2,000","0.27","746,000","744,000","704","526,830,000","746,000","757,000","734,000","5,000",원(KRW),"2,099,697","1,562,174,568,000",
003555,LG우,"44,800","100","0.22","44,950","44,800","2,095","93,653,950","46,200","46,200","44,300","5,000",원(KRW),"3,314,677","148,497,529,600",
032640,LG유플러스,"12,450","0","0.00","12,450","12,400","1,634,101","20,127,186,550","12,450","12,500","12,200","5,000",원(KRW),"436,611,361","5,435,811,444,450",
011070,LG이노텍,"99,300","1,100","1.12","99,400","99,300","108,169","10,849,174,600","98,100","102,500","97,500","5,000",원(KRW),"23,667,107","2,350,143,725,100",
066570,LG전자,"60,500","200","0.33","60,500","60,400","350,227","21,190,497,200","60,600","60,900","60,100","5,000",원(KRW),"163,647,814","9,900,692,747,000",
066575,LG전자우,"26,050","-300","1.14","26,050","26,000","16,407","429,249,650","26,400","26,550","25,800","5,000",원(KRW),"17,185,992","447,695,091,600",
108670,LG하우시스,"59,100","-400","0.67","59,200","59,100","18,208","1,083,414,000","59,100","60,100","58,600","5,000",원(KRW),"8,967,670","529,989,297,000",
108675,LG하우시스우,"29,000","0","0.00","29,000","28,950","346","10,033,450","29,000","29,150","28,900","5,000",원(KRW),"1,032,330","29,937,570,000",
051910,LG화학,"314,000","-3,000","0.95","314,500","314,000","84,452","26,593,449,000","315,500","317,000","313,000","5,000",원(KRW),"70,592,343","22,165,995,702,000",
051915,LG화학우,"161,500","-1,500","0.92","162,000","161,500","14,657","2,392,433,500","162,500","165,000","160,000","5,000",원(KRW),"7,688,800","1,241,741,200,000",
079550,LIG넥스원,"28,150","400","1.44","28,150","28,100","55,574","1,546,696,850","27,750","28,150","27,550","5,000",원(KRW),"22,000,000","619,300,000,000",
183350,LPK로보틱스,"1,400","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"4,698,324","6,577,653,600",
006260,LS,"41,350","-700","1.66","41,400","41,350","45,615","1,889,500,550","41,950","42,200","41,150","5,000",원(KRW),"32,200,000","1,331,470,000,000",
000680,LS네트웍스,"2,815","-20","0.71","2,815","2,780","30,133","83,468,970","2,835","2,835","2,750","5,000",원(KRW),"78,803,016","221,830,490,040",
010120,LS산전,"43,800","50","0.11","43,800","43,750","28,232","1,237,687,400","43,500","44,300","43,500","5,000",원(KRW),"30,000,000","1,314,000,000,000",
229640,LS전선아시아,"7,290","110","1.53","7,290","7,230","61,787","447,232,960","7,180","7,290","7,090","500",원(KRW),"30,624,879","223,255,367,910",
023150,MH에탄올,"6,430","20","0.31","6,430","6,410","10,077","65,270,170","6,410","6,500","6,410","500",원(KRW),"7,378,526","47,443,922,180",
065150,MP그룹,"1,315","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"80,808,407","106,263,055,205",
219550,MP한강,"815","21","2.64","815","814","278,300","224,208,290","780","815","780","100",원(KRW),"56,831,270","46,317,485,050",
035420,NAVER,"140,500","-2,000","1.40","141,000","140,500","217,292","30,865,080,000","142,500","144,500","140,500","100",원(KRW),"164,813,395","23,156,281,997,500",
160550,NEW,"3,580","5","0.14","3,580","3,575","41,480","147,654,390","3,520","3,600","3,480","500",원(KRW),"27,906,106","99,903,859,480",
053290,NE능률,"2,870","-80","2.71","2,920","2,870","14,256","41,526,025","2,865","2,980","2,850","500",원(KRW),"13,497,842","38,738,806,540",
181710,NHN,"61,000","-2,500","3.94","61,100","61,000","138,235","8,470,823,900","64,000","64,400","60,500","500",원(KRW),"19,565,025","1,193,466,525,000",
104200,NHN벅스,"6,420","-150","2.28","6,430","6,420","30,181","193,358,040","6,690","6,690","6,300","500",원(KRW),"14,827,550","95,192,871,000",
060250,NHN한국사이버결제,"21,100","400","1.93","21,150","21,100","905,398","19,393,770,500","21,100","22,150","20,700","500",원(KRW),"22,971,393","484,696,392,300",
005940,NH투자증권,"12,200","-150","1.21","12,250","12,200","619,891","7,581,647,850","12,300","12,400","12,150","5,000",원(KRW),"281,408,887","3,433,188,421,400",
